"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"172","ci","11388250","2","Wednesday, November  6, 2013 11:54:37 UTC",33.4343,-116.6687,1.2,15.2,19,"Southern California"
"173","ci","11388242","2","Wednesday, November  6, 2013 11:54:02 UTC",33.4307,-116.6587,1.2,15.2,18,"Southern California"
"174","ci","11388234","2","Wednesday, November  6, 2013 11:38:46 UTC",33.4358,-116.6698,1.4,15.4,14,"Southern California"
"175","ak","10839873","1","Wednesday, November  6, 2013 11:38:42 UTC",61.1496,-152.3911,1.1,13.7,14,"Southern Alaska"
"176","ak","10839871","1","Wednesday, November  6, 2013 11:35:51 UTC",61.5006,-150.7366,1.4,39.6,7,"Southern Alaska"
"177","pr","13310005","0","Wednesday, November  6, 2013 11:12:55 UTC",18.3586,-67.2938,2.2,19,11,"Mona Passage, Puerto Rico"
"178","ak","10839860","1","Wednesday, November  6, 2013 11:12:14 UTC",60.0155,-141.3982,1.9,0.8,18,"Southern Alaska"
"179","ak","10839855","1","Wednesday, November  6, 2013 11:00:22 UTC",62.3571,-149.0875,1.3,1.3,5,"Central Alaska"
"180","nc","72102061","0","Wednesday, November  6, 2013 10:43:58 UTC",38.7882,-122.763,1.1,2,17,"Northern California"
"181","ak","10839844","2","Wednesday, November  6, 2013 10:18:22 UTC",53.3855,-163.5745,3.5,31.6,16,"Unimak Island region, Alaska"
"182","ci","11388186","4","Wednesday, November  6, 2013 10:10:33 UTC",33.9407,-118.3253,1.6,17.9,41,"Greater Los Angeles area, California"
"183","ci","37163341","2","Wednesday, November  6, 2013 10:06:18 UTC",33.9408,-118.3308,1.5,18.5,29,"Greater Los Angeles area, California"
"184","ci","37163333","2","Wednesday, November  6, 2013 10:06:03 UTC",33.9352,-118.3257,1.4,19.9,18,"Greater Los Angeles area, California"
"185","ci","11388178","5","Wednesday, November  6, 2013 10:05:49 UTC",33.9388,-118.321,1.5,17.8,33,"Greater Los Angeles area, California"
"186","ci","11388170","4","Wednesday, November  6, 2013 10:04:20 UTC",33.9427,-118.3395,1.2,18.4,20,"Greater Los Angeles area, California"
"187","nc","72102051","0","Wednesday, November  6, 2013 09:57:42 UTC",37.5263,-118.8235,1.1,7.1,9,"Central California"
"188","ci","11388154","5","Wednesday, November  6, 2013 09:30:00 UTC",35.1765,-117.1258,2.2,3.8,39,"Southern California"
"189","ci","11388138","4","Wednesday, November  6, 2013 08:23:38 UTC",35.061,-118.3487,1.8,3.5,19,"Southern California"
"190","nc","72101986","1","Wednesday, November  6, 2013 08:23:31 UTC",38.8195,-122.8108,1.2,3.6,24,"Northern California"
"191","ci","11388130","4","Wednesday, November  6, 2013 08:23:29 UTC",35.0577,-118.3515,1.1,4.2,15,"Southern California"
"192","ak","10839821","1","Wednesday, November  6, 2013 08:12:32 UTC",60.2321,-150.1224,2.4,32.4,27,"Kenai Peninsula, Alaska"
"193","nc","72101961","0","Wednesday, November  6, 2013 07:56:44 UTC",38.7638,-122.7417,1.2,2.4,21,"Northern California"
"194","ak","10839814","2","Wednesday, November  6, 2013 07:53:10 UTC",51.6407,-175.0666,3.2,25.6,9,"Andreanof Islands, Aleutian Islands, Alaska"
"195","ak","10839807","2","Wednesday, November  6, 2013 07:49:54 UTC",62.8932,-148.8452,2.8,13.1,51,"Central Alaska"
"196","ak","10839798","1","Wednesday, November  6, 2013 07:30:07 UTC",60.5658,-151.5557,2,72.7,14,"Kenai Peninsula, Alaska"
"197","nn","00428497","1","Wednesday, November  6, 2013 07:29:58 UTC",37.3482,-117.1327,1.3,8.4,14,"Nevada"
"198","ak","10839792","1","Wednesday, November  6, 2013 07:22:31 UTC",62.2609,-145.7791,2.1,0.1,19,"Central Alaska"
"199","nc","72101941","1","Wednesday, November  6, 2013 07:22:25 UTC",37.8928,-122.2225,1.8,6.8,37,"San Francisco Bay area, California"
"200","ak","10839784","1","Wednesday, November  6, 2013 06:34:32 UTC",62.2974,-145.7317,2,9.5,15,"Central Alaska"
"201","nn","00428495","1","Wednesday, November  6, 2013 06:26:50 UTC",39.6716,-119.6919,1.1,10.7,10,"Nevada"
"202","ak","10839775","1","Wednesday, November  6, 2013 06:11:58 UTC",61.8888,-151.8405,2.4,100,39,"Southern Alaska"
"203","ak","10839769","2","Wednesday, November  6, 2013 06:04:26 UTC",60.0711,-140.6494,2.5,1.2,31,"Southern Yukon Territory, Canada"
"204","hv","60587606","2","Wednesday, November  6, 2013 05:00:25 UTC",19.3305,-155.103,2.5,6.2,69,"Island of Hawaii, Hawaii"
"205","ak","10839760","1","Wednesday, November  6, 2013 04:53:50 UTC",63.8509,-148.546,1.8,100,19,"Central Alaska"
"206","pr","13310003","0","Wednesday, November  6, 2013 04:41:00 UTC",18.8075,-65.587,2.7,41,6,"Puerto Rico region"
"207","nc","72101891","0","Wednesday, November  6, 2013 04:17:34 UTC",38.8055,-122.8265,1,2.8,17,"Northern California"
"208","ak","10839747","1","Wednesday, November  6, 2013 04:13:21 UTC",60.3293,-141.2413,2.1,7.4,23,"Southern Alaska"
"209","nc","71075664","2","Wednesday, November  6, 2013 04:09:57 UTC",40.5487,-121.663,1,8.4,14,"Northern California"
"210","nc","72101881","0","Wednesday, November  6, 2013 04:09:33 UTC",38.8162,-122.8208,1.2,3,21,"Northern California"
"211","nc","72101876","1","Wednesday, November  6, 2013 03:54:56 UTC",37.3855,-118.4537,2,13,19,"Central California"
"212","pr","13310004","0","Wednesday, November  6, 2013 03:51:07 UTC",18.863,-64.8287,2.7,69,4,"Virgin Islands region"
